Company	Company Domain	Final Domain	City	Manufacturing_Propensity
GLM Werkzeugmaschinen	glm-werkzeugmaschinen.com	glm-werkzeugmaschinen.com	Grefrath	High
Kuhne Group	kuhne-group.com		Sankt Augustin	High
H+E Logistik	helogistik.de	he-conveying.com	Bochum	High
CAWi Group	cawi.de		Kierspe	High
Scholz Maschinenbau	scholz-maschinenbau.de	scholz-autoclaves.com	Coesfeld	High
Heinrich Stamm	stamm-wire.de	benderwire.group	Iserlohn	High
Ingenieurkarriere	ingenieurkarriere.de	vdi-verlag.de	Dusseldorf	Medium
Meise Medizintechnik	meise.com		Schalksmühle	High
Schoeller Werk GmbH & Co. KG	schoellerwerk.de		Hellenthal	High
Süssmilch GmbH & Co. KG	suessmilch.com	systema-tech.de	Rheda-Wiedenbrück	High
OZ German-International Symposium on Nanostrucutres	zoz.de	zoz.de	Wenden	High
Malek Brautech	malek-brautech.de	malek-consulting.com	Velbert	High
UES	ues-ag.net		Krefeld	High
BrainRepair UG	brainrepair.eu		Bochum	High
Saw Instruments	saw-instruments.com	odoo.com	Bonn	High
Seeger Baensch	seeger-baensch.de		Lemgo	High
Otto Huss	otto-huss.de	b-zt.de	Herscheid	Medium
Ntn	ntn.de		Mettmann	Medium
Aug.Winkhaus GmbH & Co. KG	winkhaus.de	winkhaus.com	Telgte	High
Vahle GmbH & Co. KG	vahle.de	vahle.com	Kamen	Medium
Elsoma	elsoma.de		Schwerte	High
EWMenn GmbH & Co. KG	ewmenn.de		Hilchenbach	High
Institut	bio-based.eu	renewable-carbon.eu	Hürth	Medium
Mebau	mebau-system.de		Essen	Medium
D.w. Werbung	dw-werbung.de		Greven	Medium
LKA Lamprecht	lka-lamprecht.de		Lengerich	High
TrustForge	trustforge.de		Schloß Holte-Stukenbrock	High
Dsa Marketing	dsa-marketing.ag		Oberhausen	High
Rollentechnik Vom Stein	rollentechnik.com	rollentechnik.com	Hückeswagen	High
BSL Technology	bsl-metallverarbeitung.de	bsl-technology.de	Lengerich	High
Bühler Bindler	bindler.com	buhlergroup.com	Bergneustadt	High
Lüraflex	lueraflex.de	lueraflex.com	Neuss	Medium
Schörken	schoerken.com		Wuppertal	High
Clear Edge Filtration	clear-edge.com		Geldern	Medium
HEBO	hebo-aufzugstechnik.de	dussmann.de	Hallenberg	High
KTR Systems	ktr.com		Rheine	High
